Loan_ID,Issue_Date,Loan_Amount,Total_Received,Region,Loan_Status,Loan_Category,Amount_Category,Month_Year
LN-1000,2023-01-01 00:00:00.000000000,20000,14814.259780963228,West,Current,Good Loan,Medium,2023-01
LN-1001,2023-01-01 17:32:15.135135135,25000,19028.591391843318,Central,Fully Paid,Good Loan,High,2023-01
LN-1002,2023-01-02 11:04:30.270270270,15000,11975.746370307048,West,Fully Paid,Good Loan,Medium,2023-01
LN-1003,2023-01-03 04:36:45.405405405,25000,19106.813732595558,South,Fully Paid,Good Loan,High,2023-01
LN-1004,2023-01-03 22:09:00.540540540,25000,19365.67024051306,West,Charged Off,Bad Loan,High,2023-01
LN-1005,2023-01-04 15:41:15.675675675,10000,8140.380674775388,North,Fully Paid,Good Loan,Low,2023-01
LN-1006,2023-01-05 09:13:30.810810810,15000,11540.241571768529,South,Current,Good Loan,Medium,2023-01
LN-1007,2023-01-06 02:45:45.945945945,15000,15880.592547758553,South,Fully Paid,Good Loan,Medium,2023-01
LN-1008,2023-01-06 20:18:01.081081081,15000,10981.402473969853,Central,Current,Good Loan,Medium,2023-01
LN-1009,2023-01-07 13:50:16.216216216,25000,22745.113895702547,East,Current,Good Loan,High,2023-01
LN-1010,2023-01-08 07:22:31.351351351,20000,17283.17461591729,South,Fully Paid,Good Loan,Medium,2023-01
LN-1011,2023-01-09 00:54:46.486486486,15000,16394.271701451642,East,Fully Paid,Good Loan,Medium,2023-01
LN-1012,2023-01-09 18:27:01.621621621,35000,26068.54463035273,West,Current,Good Loan,High,2023-01
LN-1013,2023-01-10 11:59:16.756756756,25000,21478.555990457415,North,Fully Paid,Good Loan,High,2023-01
LN-1014,2023-01-11 05:31:31.891891891,10000,10877.881733101478,Central,Current,Good Loan,Low,2023-01
LN-1015,2023-01-11 23:03:47.027027027,20000,20924.057007151845,East,Fully Paid,Good Loan,Medium,2023-01
LN-1016,2023-01-12 16:36:02.162162162,35000,35939.00899328992,South,Charged Off,Bad Loan,High,2023-01
LN-1017,2023-01-13 10:08:17.297297297,35000,28110.639578629158,East,Current,Good Loan,High,2023-01
LN-1018,2023-01-14 03:40:32.432432432,10000,7683.550349560263,South,Charged Off,Bad Loan,Low,2023-01
LN-1019,2023-01-14 21:12:47.567567567,20000,19349.14575939545,East,Fully Paid,Good Loan,Medium,2023-01
LN-1020,2023-01-15 14:45:02.702702702,25000,26793.75989127586,South,Fully Paid,Good Loan,High,2023-01
LN-1021,2023-01-16 08:17:17.837837837,5000,4613.52578602786,West,Fully Paid,Good Loan,Low,2023-01
LN-1022,2023-01-17 01:49:32.972972973,20000,18572.9015157592,South,Fully Paid,Good Loan,Medium,2023-01
LN-1023,2023-01-17 19:21:48.108108108,10000,8119.916374641136,South,Fully Paid,Good Loan,Low,2023-01
LN-1024,2023-01-18 12:54:03.243243243,35000,35272.90106468712,North,Fully Paid,Good Loan,High,2023-01
LN-1025,2023-01-19 06:26:18.378378378,25000,19370.437485575236,South,Current,Good Loan,High,2023-01
LN-1026,2023-01-19 23:58:33.513513513,20000,16589.433891233948,North,Fully Paid,Good Loan,Medium,2023-01
LN-1027,2023-01-20 17:30:48.648648648,5000,4350.872877232834,Central,Fully Paid,Good Loan,Low,2023-01
LN-1028,2023-01-21 11:03:03.783783783,5000,4515.22075736891,North,Current,Good Loan,Low,2023-01
LN-1029,2023-01-22 04:35:18.918918918,15000,11954.45839449048,West,Fully Paid,Good Loan,Medium,2023-01
LN-1030,2023-01-22 22:07:34.054054054,15000,11189.020948435222,North,Fully Paid,Good Loan,Medium,2023-01
LN-1031,2023-01-23 15:39:49.189189189,10000,9442.48016976653,Central,Charged Off,Bad Loan,Low,2023-01
LN-1032,2023-01-24 09:12:04.324324324,20000,16309.044425922046,West,Charged Off,Bad Loan,Medium,2023-01
LN-1033,2023-01-25 02:44:19.459459459,20000,18649.905771380898,East,Fully Paid,Good Loan,Medium,2023-01
LN-1034,2023-01-25 20:16:34.594594594,35000,26661.078013838833,East,Fully Paid,Good Loan,High,2023-01
LN-1035,2023-01-26 13:48:49.729729729,35000,31235.96142596745,North,Current,Good Loan,High,2023-01
LN-1036,2023-01-27 07:21:04.864864865,35000,31956.252055722205,North,Fully Paid,Good Loan,High,2023-01
LN-1037,2023-01-28 00:53:20.000000000,15000,10810.941220934561,Central,Fully Paid,Good Loan,Medium,2023-01
LN-1038,2023-01-28 18:25:35.135135135,20000,16692.834225551363,Central,Fully Paid,Good Loan,Medium,2023-01
LN-1039,2023-01-29 11:57:50.270270270,20000,15075.317415511792,South,Fully Paid,Good Loan,Medium,2023-01
LN-1040,2023-01-30 05:30:05.405405405,5000,3626.749940945535,Central,Fully Paid,Good Loan,Low,2023-01
LN-1041,2023-01-30 23:02:20.540540540,15000,16439.761394339672,South,Fully Paid,Good Loan,Medium,2023-01
LN-1042,2023-01-31 16:34:35.675675675,25000,20723.53844974723,West,Fully Paid,Good Loan,High,2023-01
LN-1043,2023-02-01 10:06:50.810810810,15000,15359.246675127812,North,Charged Off,Bad Loan,Medium,2023-02
LN-1044,2023-02-02 03:39:05.945945946,25000,20046.406547637638,West,Fully Paid,Good Loan,High,2023-02
LN-1045,2023-02-02 21:11:21.081081081,5000,4863.005444447859,Central,Current,Good Loan,Low,2023-02
LN-1046,2023-02-03 14:43:36.216216216,10000,10040.911439558746,West,Charged Off,Bad Loan,Low,2023-02
LN-1047,2023-02-04 08:15:51.351351351,20000,18765.109924862754,West,Fully Paid,Good Loan,Medium,2023-02
LN-1048,2023-02-05 01:48:06.486486486,5000,4443.152377100317,West,Fully Paid,Good Loan,Low,2023-02
LN-1049,2023-02-05 19:20:21.621621621,20000,17294.727313178148,Central,Fully Paid,Good Loan,Medium,2023-02
LN-1050,2023-02-06 12:52:36.756756756,35000,29384.155731601935,West,Fully Paid,Good Loan,High,2023-02
LN-1051,2023-02-07 06:24:51.891891892,10000,10718.116576991304,South,Current,Good Loan,Low,2023-02
LN-1052,2023-02-07 23:57:07.027027027,10000,10322.477631150918,Central,Fully Paid,Good Loan,Low,2023-02
LN-1053,2023-02-08 17:29:22.162162162,5000,5430.053821333026,West,Charged Off,Bad Loan,Low,2023-02
LN-1054,2023-02-09 11:01:37.297297297,10000,7497.188893942178,Central,Fully Paid,Good Loan,Low,2023-02
LN-1055,2023-02-10 04:33:52.432432432,25000,24808.674752036444,East,Fully Paid,Good Loan,High,2023-02
LN-1056,2023-02-10 22:06:07.567567567,10000,10753.361827284152,South,Fully Paid,Good Loan,Low,2023-02
LN-1057,2023-02-11 15:38:22.702702702,20000,15449.864529325281,West,Fully Paid,Good Loan,Medium,2023-02
LN-1058,2023-02-12 09:10:37.837837837,20000,14531.970138934219,East,Fully Paid,Good Loan,Medium,2023-02
LN-1059,2023-02-13 02:42:52.972972973,20000,19928.965194320474,East,Fully Paid,Good Loan,Medium,2023-02
LN-1060,2023-02-13 20:15:08.108108108,20000,18595.784905439297,Central,Fully Paid,Good Loan,Medium,2023-02
LN-1061,2023-02-14 13:47:23.243243243,25000,25918.287767582722,East,Fully Paid,Good Loan,High,2023-02
LN-1062,2023-02-15 07:19:38.378378378,15000,11338.634259757737,South,Charged Off,Bad Loan,Medium,2023-02
LN-1063,2023-02-16 00:51:53.513513513,35000,35633.74236603846,South,Fully Paid,Good Loan,High,2023-02
LN-1064,2023-02-16 18:24:08.648648648,5000,3903.2546400954893,North,Current,Good Loan,Low,2023-02
LN-1065,2023-02-17 11:56:23.783783783,20000,15309.247542925636,South,Current,Good Loan,Medium,2023-02
LN-1066,2023-02-18 05:28:38.918918919,10000,7657.063191723972,East,Charged Off,Bad Loan,Low,2023-02
LN-1067,2023-02-18 23:00:54.054054054,20000,20516.59776185106,South,Fully Paid,Good Loan,Medium,2023-02
LN-1068,2023-02-19 16:33:09.189189189,10000,9660.7888827848,Central,Charged Off,Bad Loan,Low,2023-02
LN-1069,2023-02-20 10:05:24.324324324,35000,31822.915946767673,North,Fully Paid,Good Loan,High,2023-02
LN-1070,2023-02-21 03:37:39.459459459,35000,29523.626777729034,East,Fully Paid,Good Loan,High,2023-02
LN-1071,2023-02-21 21:09:54.594594594,35000,36780.80757138351,North,Fully Paid,Good Loan,High,2023-02
LN-1072,2023-02-22 14:42:09.729729730,10000,8569.780429690541,East,Current,Good Loan,Low,2023-02
LN-1073,2023-02-23 08:14:24.864864865,20000,20532.79551577262,Central,Fully Paid,Good Loan,Medium,2023-02
LN-1074,2023-02-24 01:46:40.000000000,35000,30647.888719983057,North,Current,Good Loan,High,2023-02
LN-1075,2023-02-24 19:18:55.135135135,25000,21269.444294249075,West,Fully Paid,Good Loan,High,2023-02
